LEDISAS2	Code = 28	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
28	4	9	3	1	6	53	38	3	2	2	2	1	1	1	1.920000e+00	5.162200e+02	1550	1	1
28	4	10	3	2	1	12	45	5	4	4	2	1	2	2	3.520000e+00	5.197400e+02	3805	0	1
28	4	11	3	1	1	24	17	4	2	2	2	1	1	1	1.850000e+00	5.215900e+02	835	1	1
28	4	12	3	2	1	48	34	5	2	2	2	1	2	2	4.140000e+00	5.257300e+02	3839	0	1
28	4	13	3	2	2	7	1	2	4	4	2	1	2	2	3.800000e+00	5.295300e+02	5066	0	1
28	4	14	3	1	1	35	16	3	2	2	2	1	1	1	2.010000e+00	5.315400e+02	1453	1	1
28	4	15	3	1	2	34	24	4	3	3	2	1	1	1	1.960000e+00	5.335000e+02	1656	1	1
28	4	16	3	1	3	25	10	5	3	3	2	1	1	1	1.950000e+00	5.354500e+02	1484	1	1
28	4	17	3	1	4	40	46	4	3	3	2	1	1	1	2.040000e+00	5.374900e+02	2182	1	1
28	4	18	3	2	1	9	39	2	3	3	2	1	2	2	4.340000e+00	5.418300e+02	1452	0	1
28	4	19	3	2	2	7	53	5	4	4	2	1	2	2	5	5.468300e+02	2407	0	1
28	4	20	3	2	3	45	29	5	3	3	2	1	2	2	3.360000e+00	5.501900e+02	3396	0	1
28	4	21	3	2	4	43	23	4	5	5	2	1	2	2	3.520000e+00	5.537100e+02	2770	0	1
28	4	22	3	2	5	1	23	4	2	2	2	1	2	2	4.490000e+00	5.582000e+02	1720	0	1
28	4	23	3	2	6	14	45	3	5	5	2	1	2	2	3.820000e+00	5.620200e+02	1081	0	1
28	4	24	3	1	1	46	27	5	4	5	1	1	2	2	3.350000e+00	5.653700e+02	1347	0	2
28	4	25	3	1	2	23	8	2	4	4	2	1	1	1	2.040000e+00	5.674100e+02	2203	1	2
28	4	26	3	2	1	19	34	4	3	3	2	1	2	2	4.730000e+00	5.721400e+02	4512	0	1
28	4	27	3	2	2	8	43	5	2	2	2	1	2	2	4.330000e+00	5.764700e+02	1265	0	1
28	4	28	3	2	3	42	33	3	5	5	2	1	2	2	4.920000e+00	5.813900e+02	3196	0	1
28	4	29	3	2	4	36	3	5	3	3	2	1	2	2	4.240000e+00	5.856300e+02	1089	0	1
28	4	30	3	1	1	14	1	2	3	3	2	1	1	1	2.220000e+00	5.878500e+02	3267	1	1
28	4	31	3	1	2	23	36	5	2	2	2	1	1	1	1.960000e+00	5.898100e+02	1726	1	1
28	4	32	3	1	3	26	1	5	2	2	2	1	1	1	1.870000e+00	5.916800e+02	687	1	1
28	4	33	3	2	1	20	43	2	4	4	2	1	2	2	3.900000e+00	5.955800e+02	2264	0	1
28	4	34	3	2	2	11	4	4	5	5	2	1	2	2	4.560000e+00	6.001400e+02	1603	0	1
28	4	35	3	2	3	14	35	5	2	2	2	1	2	2	3.470000e+00	6.036100e+02	1225	0	1
28	4	36	3	2	4	15	36	3	4	4	2	1	2	2	4.300000e+00	6.079100e+02	813	0	1
28	4	37	3	2	5	19	54	2	3	3	2	1	2	2	3.720000e+00	6.116300e+02	4041	0	1
28	4	38	3	1	1	10	43	2	5	5	2	1	1	1	2.060000e+00	6.136900e+02	1669	1	1
28	4	39	3	1	2	30	49	3	4	4	2	1	1	1	1.870000e+00	6.155600e+02	3232	1	1
28	4	40	3	1	3	1	51	4	5	5	2	1	1	1	2.010000e+00	6.175700e+02	2964	1	1
28	4	41	3	1	4	27	9	2	4	4	2	1	1	1	1.760000e+00	6.193300e+02	3523	1	1
28	4	42	3	1	5	11	32	5	3	3	2	1	1	1	1.940000e+00	6.212700e+02	3123	1	1
28	4	43	3	2	1	43	27	3	2	2	2	1	2	2	4.220000e+00	6.254900e+02	2676	0	1
28	4	44	3	1	1	1	48	3	5	5	2	1	1	1	1.960000e+00	6.274500e+02	2934	1	1
28	4	45	3	1	2	13	35	4	2	2	2	1	1	1	2.150000e+00	6.296000e+02	1126	1	1
28	4	46	3	1	3	8	9	4	2	2	2	1	1	1	1.930000e+00	6.315300e+02	1679	1	1
28	4	47	3	1	4	10	42	5	2	2	2	1	1	1	1.730000e+00	6.332600e+02	2041	1	1
28	4	48	3	2	1	21	14	2	4	4	2	1	2	2	3.420000e+00	6.366800e+02	6717	0	1
28	4	49	3	2	2	45	19	4	5	5	2	1	2	2	4.500000e+00	6.411800e+02	1166	0	1
28	4	50	3	2	3	40	43	2	5	5	2	1	2	2	3.950000e+00	6.451300e+02	1692	0	1
28	4	51	3	1	1	19	18	3	5	5	2	1	1	1	2.040000e+00	6.471700e+02	2870	1	1
28	4	52	3	1	2	48	16	2	4	4	2	1	1	1	2.110000e+00	6.492800e+02	1152	1	1
28	4	53	3	1	3	36	27	4	5	5	2	1	1	1	1.750000e+00	6.510300e+02	3512	1	1
28	4	54	3	1	4	10	46	3	4	4	2	1	1	1	1.920000e+00	6.529500e+02	1777	1	1
28	4	55	3	1	5	18	9	4	2	2	2	1	1	1	1.920000e+00	6.548700e+02	854	1	1
28	4	56	3	1	6	46	12	2	5	5	2	1	1	1	1.880000e+00	6.567500e+02	2778	1	1
28	4	57	3	2	1	30	26	3	2	2	2	1	2	2	3.910000e+00	6.606600e+02	2249	0	1
28	4	58	3	2	2	20	53	2	3	3	2	1	2	2	4.720000e+00	6.653800e+02	2597	0	1
